h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q2344822,Óc Eo,locatedIn,Q1626255,Thoại Sơn,,10.232944,105.162994,10.320833333333,105.26666666667
Q10829978,"Tu viện Dòng Thánh Phaolô thành Chartres, Sài Gòn",locatedIn,Q1854,Thành phố Hồ Chí Minh,,,,10.775555555556,106.70194444444
Q6941034,Bảo tàng Gốm sứ Mậu dịch,locatedIn,Q36160,Hội An,,15.877233,108.329677,15.877669444444,108.33265
Q113457479,Bưu điện Hà Nội,locatedIn,Q16480212,Tràng Tiền,,21.0266106,105.8535267,21.02611111,105.8527778
Q10743280,Bảo tàng Chiến thắng B52,locatedIn,Q1858,Hà Nội,,21.035555555556,105.82611111111,21.0245,105.84117
Q10825223,Thiền viện Vạn Hạnh (Đà Lạt),locatedIn,Q25281,Đà Lạt,,11.97226111,108.4419722,11.94,108.4375
Q5370340,Bảo tàng Cách mạng Việt Nam,locatedIn,Q1858,Hà Nội,1959,21.0253,105.8587,21.0245,105.84117
Q20025273,Bảo tàng Tăng Thiết giáp,locatedIn,Q10798880,Nghĩa Đô,,,,21.046666666667,105.80083333333
Q24957573,Đền Cấm,locatedIn,Q33373,Lào Cai,,22.4952589,103.97770661,22.419444444444,103.995
Q31630071,Lò gốm cổ Hưng Lợi,locatedIn,Q5283273,Quận 8,,,,10.726944444444,106.63722222222
Q109289165,Bảo tàng tỉnh Bình Dương,locatedIn,Q36866,Bình Dương,,10.990275900918,106.66326997672,11.166666666667,106.66666666667
Q864767,Bảo tàng Thành phố Hồ Chí Minh,locatedIn,Q1854,Thành phố Hồ Chí Minh,1890,10.77611111,106.69972222,10.775555555556,106.70194444444
Q108866931,Bảo tàng tỉnh Thanh Hóa,locatedIn,Q36512,Thanh Hóa,,19.815241550954,105.7801022,20.0,105.5
Q65165794,Bảo tàng Tổng hợp tỉnh Bình Định,locatedIn,Q36693,Bình Định,1980,13.771179985503,109.23350764603,14.166666666667,109.0
Q5370414,Bảo tàng Lịch sử Việt Nam,locatedIn,Q1134529,Hoàn Kiếm,1958,21.024722222222,105.85972222222,21.02858,105.850613
Q136649216,Nhà hát Cải lương Hà Nội,locatedIn,Q1858,Hà Nội,,21.034355438937,105.85220189089,21.0245,105.84117
Q10825849,Tháp Phú Diên,locatedIn,Q36399,Huế,,16.4957797,107.746104,16.463888888889,107.58666666667
Q6485590,Làng Cả,locatedIn,Q36082,Việt Trì,,,,21.313558333333,105.39465277778
Q109438230,Tháp Vĩnh Hưng,locatedIn,Q10833569,Vĩnh Hưng A,900,9.3930840095307,105.5781835,9.3880555555556,105.59361111111
Q7928443,Mộ thuyền Việt Khê,locatedIn,Q10805811,Phù Ninh,,,,20.977867,106.59047
Q10743287,Bảo tàng Phụ nữ Việt Nam,locatedIn,Q1858,Hà Nội,1987,21.023463,105.851619,21.0245,105.84117
Q10743287,Bảo tàng Phụ nữ Việt Nam,locatedIn,Q1858,Hà Nội,1995,21.023463,105.851619,21.0245,105.84117
Q86012381,Trụ sở Bộ Ngoại giao Việt Nam,locatedIn,Q1858,Hà Nội,,21.035705,105.837,21.0245,105.84117
Q7187240,Phong Châu,locatedIn,Q36082,Việt Trì,-2523,21.2817,105.442,21.313558333333,105.39465277778
Q114397271,Bảo tàng Hội An,locatedIn,Q36160,Hội An,,15.879,108.329,15.877669444444,108.33265
Q112648602,Bảo tàng Đồng Nai,locatedIn,Q33271,Đồng Nai,2000,10.958457820877,106.8296224904,11.110278,107.181111
Q10739083,One Central Saigon,locatedIn,Q1854,Thành phố Hồ Chí Minh,,,,10.775555555556,106.70194444444
Q18164670,"Bảo tàng Quân khu 5, Đà Nẵng",locatedIn,Q25282,Đà Nẵng,,16.0487,108.218,16.069444444444,108.20972222222
Q32206985,Nền Chùa,locatedIn,Q36576,Kiên Giang,,10.111573,105.107447,10.0,105.16666666667
Q10743440,Bến Nhà Rồng,locatedIn,Q1854,Thành phố Hồ Chí Minh,,10.76824,106.706799,10.775555555556,106.70194444444
Q10829978,"Tu viện Dòng Thánh Phaolô thành Chartres, Sài Gòn",locatedIn,Q135026770,Sài Gòn,,,,10.780555555556,106.69916666667
Q111188078,Bảo tàng Lịch sử Thừa Thiên Huế,locatedIn,Q36167,Huế,1976,16.472412074208,107.58177285397,16.456111111111,107.57638888889
Q10829978,"Tu viện Dòng Thánh Phaolô thành Chartres, Sài Gòn",locatedIn,Q135026770,Sài Gòn,,,,10.780277777778,106.70305555556
Q30744118,Bảo tàng Nghệ thuật Di sản vô giá,locatedIn,Q36160,Hội An,,15.877233,108.334205,15.877669444444,108.33265
Q108872896,Bảo tàng tỉnh Yên Bái,locatedIn,Q26019,Yên Bái,,21.728265116822,104.89970121215,21.7,104.86666666667
Q112182634,Bảo tàng Quảng Ninh,locatedIn,Q33396,Quảng Ninh,,20.948765313156,107.09748922476,21.25,107.33333333333
Q130218117,Mỹ Sơn nhóm tháp A,locatedIn,Q2090854,Duy Xuyên,,15.762881897961,108.125219494,15.841041,108.283391
Q24957572,Đền Thượng,locatedIn,Q10787435,Lào Cai,,,,22.51027778,103.9830556
Q1048345,Bảo tàng Dân tộc học Việt Nam,locatedIn,Q1858,Hà Nội,,21.0406,105.799,21.0245,105.84117
Q5370392,Khu di tích Phủ Chủ tịch,locatedIn,Q1858,Hà Nội,,21.037901,105.833547,21.0245,105.84117
Q31992793,Thành cổ Biên Hòa,locatedIn,Q33271,Đồng Nai,,10.9508,106.817054,11.110278,107.181111
Q111164669,Bảo tàng tỉnh Hà Giang,locatedIn,Q36685,Hà Giang,,22.831260325972,104.98396756138,22.75,105.0
Q10763514,Gò Tháp,locatedIn,Q36676,Đồng Tháp,,10.597419,105.824948,10.455015,105.633957
Q8052668,Bảo tàng Alexandre Yersin,locatedIn,Q19491,Nha Trang,,12.2515,109.196,12.245,109.19166666667
Q5157981,Hang Con Moong,locatedIn,Q3519409,Thạch Thành,,20.2875,105.605,20.167,105.667
Q1359941,nhà tù Hỏa Lò,locatedIn,Q1858,Hà Nội,1896,21.025277777778,105.84638888889,21.0245,105.84117
