h,h_label,r,t,t_label,tau_start,tau_end,l_h_lat,l_h_lon,l_t_lat,l_t_lon,vi_context,source
Chùa Vĩnh Nghiêm (Bắc Giang),Chùa Vĩnh Nghiêm (Bắc Giang),locatedIn,Bắc Ninh,Bắc Ninh,1964,1964,,,,,Tân An; Lịch sử văn hóa đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Hoàng Ngũ Phúc,Hoàng Ngũ Phúc,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,Đa Mai; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đền Ngọc Lâm, Tân Mỹ","Đền Ngọc Lâm, Tân Mỹ",locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,Đa Mai; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Địa điểm Lưu niệm Bác Hồ,Địa điểm Lưu niệm Bác Hồ,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Tân An; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Từ Vũ thôn Bùi Bến,Từ Vũ thôn Bùi Bến,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Yên Dũng; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Lăng Dinh Hương,Lăng Dinh Hương,locatedIn,Bắc Ninh,Bắc Ninh,1965,1965,,,,,Hiệp Hòa; style=white-space:nowrap|Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Lăng đá Họ Ngọ,Lăng đá Họ Ngọ,locatedIn,Bắc Ninh,Bắc Ninh,1964,1964,,,,,Hợp Thịnh; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Lăng đá Bầu,Lăng đá Bầu,locatedIn,Bắc Ninh,Bắc Ninh,1964,1964,,,,,Xuân Cẩm; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Lỗ Hạnh,Đình Lỗ Hạnh,locatedIn,Bắc Ninh,Bắc Ninh,1990,1990,,,,,Hiệp Hòa; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Lăng Họ Trần,Lăng Họ Trần,locatedIn,Bắc Ninh,Bắc Ninh,1990,1990,,,,,Hiệp Hòa; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Hương Câu,Đình Hương Câu,locatedIn,Bắc Ninh,Bắc Ninh,1992,1992,,,,,Xuân Cẩm; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Y Sơn,Đền Y Sơn,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Hợp Thịnh; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
ATK2,ATK2,locatedIn,Bắc Ninh,Bắc Ninh,,,,,,,Phổ Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Xuân Biều (ATK2),Đình Xuân Biều (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Vân Xuyên (ATK2),Đình Vân Xuyên (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà ông Ngô Văn Thấu (ATK2),Nhà ông Ngô Văn Thấu (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà ông Ngô Văn Đông (ATK2),Nhà ông Ngô Văn Đông (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Hoàng Vân, Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Nhà ông Nguyễn Văn Chế (ATK2),Nhà ông Nguyễn Văn Chế (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Hoàng Vân, Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Soi (ATK2),Đền Soi (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Hoàng Vân, Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình chợ Vân (ATK2),Đình chợ Vân (ATK2),locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Hoàng An, Hiệp Hòa; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình,Đình,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Mai Đình, Hiệp Hòa; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Đông Trước,Đình Đông Trước,locatedIn,Bắc Ninh,Bắc Ninh,2014,2014,,,,,"Mai Đình, Hiệp Hòa; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Phù Lão,Đình Phù Lão,locatedIn,Bắc Ninh,Bắc Ninh,1982,1982,,,,,Lạng Giang; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Thành Lạng Giang,Thành Lạng Giang,locatedIn,Bắc Ninh,Bắc Ninh,,,,,,,Lạng Giang; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Am,Đình Am,locatedIn,Bắc Ninh,Bắc Ninh,2014,2014,,,,,"Xuân Hương, Lạng Giang; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Cụm di tích Cây Dã hương,Cụm di tích Cây Dã hương,locatedIn,Bắc Ninh,Bắc Ninh,1989,1989,,,,,"Tiên Lục, Lạng Giang; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Thổ Hà,Đình Thổ Hà,locatedIn,Bắc Ninh,Bắc Ninh,,,,,,,"Vân Hà, Việt Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Bổ Đà,Chùa Bổ Đà,locatedIn,Bắc Ninh,Bắc Ninh,2016,2016,,,,,Việt Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Nội,Đình Nội,locatedIn,Bắc Ninh,Bắc Ninh,1998,1998,,,,,Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Nam Thiên (Đồi Phủ),Chùa Nam Thiên (Đồi Phủ),locatedIn,Bắc Ninh,Bắc Ninh,1989,1989,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Dương Lâm,Đình Dương Lâm,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,"An Dương, Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Vường,Đình Vường,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,"Liên Trung, Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Kim Tràng,Chùa Kim Tràng,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,"Việt Lập, Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Tứ Giáp,Chùa Tứ Giáp,locatedIn,Bắc Ninh,Bắc Ninh,1992,1992,,,,,Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Cao Thượng,Đình Cao Thượng,locatedIn,Bắc Ninh,Bắc Ninh,1999,1999,,,,,Tân Yên; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình và chùa Hả,Đình và chùa Hả,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,"Tân Trung, Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình làng Chuông,Đình làng Chuông,locatedIn,Bắc Ninh,Bắc Ninh,1988,1988,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nghĩa địa Pháp (Đồi Phủ),Nghĩa địa Pháp (Đồi Phủ),locatedIn,Bắc Ninh,Bắc Ninh,1988,1988,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền thờ Cả Trọng (đền Gốc Dẻ),Đền thờ Cả Trọng (đền Gốc Dẻ),locatedIn,Bắc Ninh,Bắc Ninh,1988,1988,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Gốc Khế,Đền Gốc Khế,locatedIn,Bắc Ninh,Bắc Ninh,1988,1988,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nghè Nhã Nam,Nghè Nhã Nam,locatedIn,Bắc Ninh,Bắc Ninh,1988,1988,,,,,Tân Yên; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đồn Phồn Xương,Đồn Phồn Xương,locatedIn,Bắc Ninh,Bắc Ninh,1979,1979,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đồn Hom,Đồn Hom,locatedIn,Bắc Ninh,Bắc Ninh,1979,1979,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đồn Hố Chuối,Đồn Hố Chuối,locatedIn,Bắc Ninh,Bắc Ninh,1979,1979,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Lèo,Chùa Lèo,locatedIn,Bắc Ninh,Bắc Ninh,1979,1979,,,,,"style= white-space:nowrap| Phồn Xương, Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Bến Nhãn,Đền Bến Nhãn,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Bố Hạ,Chùa Bố Hạ,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,Yên Thế; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Hương Vĩ,Đình Hương Vĩ,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Yên Thế; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Hương Vĩ,Chùa Hương Vĩ,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Yên Thế; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Cầu Khoai,Đền Cầu Khoai,locatedIn,Bắc Ninh,Bắc Ninh,1994,1994,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Đông Kênh,Đình Đông Kênh,locatedIn,Bắc Ninh,Bắc Ninh,1995,1995,,,,,"Đông Sơn, Yên Thế; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Bo Chợ,Đình Bo Chợ,locatedIn,Bắc Ninh,Bắc Ninh,1995,1995,,,,,"Đông Sơn, Yên Thế; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Kỳ Đồng Nguyễn Văn Cẩm,Kỳ Đồng Nguyễn Văn Cẩm,locatedIn,Bắc Ninh,Bắc Ninh,1995,1995,,,,,"Hồng Kỳ, Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Khu di tích khởi nghĩa Yên Thế,Khu di tích khởi nghĩa Yên Thế,locatedIn,Bắc Ninh,Bắc Ninh,,,,,,,Yên Thế; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Kem,Chùa Kem,locatedIn,Bắc Ninh,Bắc Ninh,2012,2012,,,,,Yên Dũng; Lịch sử đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình và chùa Sàn,Đình và chùa Sàn,locatedIn,Bắc Ninh,Bắc Ninh,1995,1995,,,,,Lục Nam; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Khám Lạng,Chùa Khám Lạng,locatedIn,Bắc Ninh,Bắc Ninh,1999,1999,,,,,"Khám Lạng, Lục Nam; Văn hóa nghệ thuật; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Hả,Đền Hả,locatedIn,Bắc Ninh,Bắc Ninh,1991,1991,,,,,Lục Ngạn; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Am Vãi,Chùa Am Vãi,locatedIn,Bắc Ninh,Bắc Ninh,2017,2017,,,,,Lục Ngạn; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Lăng Giáp Đăng Luân,Lăng Giáp Đăng Luân,locatedIn,Bắc Ninh,Bắc Ninh,2017,2017,,,,,Tân Yên; Lịch sử kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Đại Từ,Đình Đại Từ,locatedIn,Bắc Ninh,Bắc Ninh,2017,2017,,,,,Lục Nam; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà hát lớn Hải Phòng,Nhà hát lớn Hải Phòng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2015,2015,,,,,Hoàng Văn Thụ; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Trạm Giao thông liên lạc quốc tế của Đảng trong những năm 1920,Trạm Giao thông liên lạc quốc tế của Đảng trong những năm 1920,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1986,1986,,,,,Hồng Bàng; Lịch sử cách mạng; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Dư Hàng,Chùa Dư Hàng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1986,1986,,,,,Hồ Nam; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Nghè,Đền Nghè,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1975,1975,,,,,An Biên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Nhà 1/42 Mê Linh,Nhà 1/42 Mê Linh,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,Lê Chân; Lịch sử cách mạng; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Hàng Kênh,Đình Hàng Kênh,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,Lê Chân; Văn hóa kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Phú Xá,Đền Phú Xá,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1990,1990,,,,,Hải An; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Từ Lương Xâm,Từ Lương Xâm,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1986,1986,,,,,Hải An; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Tháp Tường Long,Tháp Tường Long,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2005,2005,,,,,Ngọc Xuyên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Ngọc Xuyên,Đình Ngọc Xuyên,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2007,2007,,,,,"Ngọc Xuyên, Đồ Sơn; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Bến tàu không số K15,Bến tàu không số K15,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2008,2008,,,,,Vạn Hương; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Bến Nghiêng,Bến Nghiêng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,"Vạn Hương, Đồ Sơn; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Hòn Dáu,Hòn Dáu,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,"Vạn Hương, Đồ Sơn; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Trinh Hưởng,Đền Trinh Hưởng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,Thiên Hương; Lịch sử kiến trúc; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Miếu Thủy Tú,Miếu Thủy Tú,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,Thủy Đường; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền An Lư,Đền An Lư,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1990,1990,,,,,"An Lư, Thủy Nguyên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Kiền Bái,Đình Kiền Bái,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1986,1986,,,,,"Kiền Bái, Thủy Nguyên; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Quần thể di tích - danh thắng Tràng Kênh,Quần thể di tích - danh thắng Tràng Kênh,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,"Minh Đức, Thủy Nguyên; Lịch sử văn hóa, danh thắng; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Đồng Dụ,Đình Đồng Dụ,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,Đặng Cương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Vĩnh Khê,Đình Vĩnh Khê,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,"An Đồng, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Nhu Thượng,Đình Nhu Thượng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,"Quốc Tuấn, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Miếu Nam,Miếu Nam,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1990,1990,,,,,"Bắc Sơn, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Hà Đậu,Đình Hà Đậu,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1994,1994,,,,,"Hồng Phong, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
"Đình, chùa Do Nha","Đình, chùa Do Nha",locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2007,2007,,,,,"Tân Tiến, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Dụ Nghĩa,Đình Dụ Nghĩa,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1994,1994,,,,,"Lê Thiện, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Quỳnh Hoàng,Đình Quỳnh Hoàng,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1992,1992,,,,,"Nam Sơn, An Dương; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Nguyễn Bỉnh Khiêm,Nguyễn Bỉnh Khiêm,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,"Lý Học, Vĩnh Bảo; Lịch sử văn hóa đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Lễ Hợp,Đình Lễ Hợp,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1994,1994,,,,,"Tam Đa, Vĩnh Bảo; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Miếu Vua Bà,Miếu Vua Bà,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,"Vinh Quang, Vĩnh Bảo; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình An Quý,Đình An Quý,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1999,1999,,,,,Cộng Hiền; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Miếu Hà Phương,Miếu Hà Phương,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1993,1993,,,,,Thắng Thủy; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Vĩnh Lạc,Đình Vĩnh Lạc,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2017,2017,,,,,Vĩnh Bảo; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Cung Chúc,Đình Cung Chúc,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,Vĩnh Bảo; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Kim Sơn,Đình Kim Sơn,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1986,1986,,,,,"Tân Trào, Kiến Thụy; Lịch sử cách mạng; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Từ đường họ Mạc,Từ đường họ Mạc,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2002,2002,,,,,Ngũ Đoan; Lịch sử cách mạng; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
"Đình, chùa Chi Lai","Đình, chùa Chi Lai",locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,"Trường Thành, An Lão; Lịch sử danh thắng; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Di tích khảo cổ Cái Bèo,Di tích khảo cổ Cái Bèo,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2009,2009,,,,,Cát Bà; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Địa điểm Bác Hồ về thăm làng Cá Cát Bà,Địa điểm Bác Hồ về thăm làng Cá Cát Bà,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2009,2009,,,,,"Cát Bà, Cát Hải; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Chùa Văn Hòa,Chùa Văn Hòa,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1996,1996,,,,,"Hữu Bằng, Kiến Thụy; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Tri Yếu,Đình Tri Yếu,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1991,1991,,,,,"Đặng Cương, An Dương; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đình Quán Khái,Đình Quán Khái,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1992,1992,,,,,"Vĩnh Phong, Vĩnh Bảo; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội)",Wikipedia-Heritage
Đền Kiếp Bạc,Đền Kiếp Bạc,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,Chí Linh; Lịch sử văn hóa đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Côn Sơn,Chùa Côn Sơn,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1962,1962,,,,,Chí Linh; Lịch sử văn hóa đặc biệt; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Cao Chí Linh,Đền Cao Chí Linh,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,Chí Linh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đình Chí Linh,Đình Chí Linh,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,Chí Linh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chùa Thanh Mai,Chùa Thanh Mai,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1992,1992,,,,,Chí Linh; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Sinh - Đền Hóa,Đền Sinh - Đền Hóa,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,Chí Linh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Chu Văn An,Chu Văn An,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,1998,1998,,,,,Chí Linh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền thờ Bà chúa Sao sa,Đền thờ Bà chúa Sao sa,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,,,,,,,Chí Linh; Lịch sử văn hóa; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
Đền Quốc Phụ,Đền Quốc Phụ,locatedIn,Thành phố Hải Phòng,Thành phố Hải Phòng,2003,2003,,,,,Chí Linh; Lịch sử; vùng Đồng bằng sông Hồng (trừ Hà Nội),Wikipedia-Heritage
