h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q1924279,Vũ Văn Mẫu,bornIn,Q10810556,Quất Động,1914.0,,,20.838338,105.873951,historical_figures.csv,,,
Q1349749,Phạm Hùng,bornIn,Q7333405,Vĩnh Long,1912.0,,,10.166666666667,106.0,historical_figures.csv,,,
Q1937110,Trần Thiện Khiêm,bornIn,Q26573,Long An,1925.0,,,10.666666666667,106.16666666667,historical_figures.csv,,,
Q1088997,Tan-Cuong Chu,bornIn,Q1858,Hà Nội,1963.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1924248,Khánh Ly,bornIn,Q1858,Hà Nội,1945.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1605885,Henri Huet,bornIn,Q25281,Đà Lạt,1927.0,,,11.94,108.4375,historical_figures.csv,,,
Q1934397,Nguyễn Văn Toàn,bornIn,Q36167,Huế,1932.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q1134494,Dương Tam Kha,bornIn,Q881,Việt Nam,901.0,,,16.0,108.0,historical_figures.csv,,,
Q1387184,Phan Thanh Bình,bornIn,Q6473680,Lai Vung,1986.0,,,10.217,105.667,historical_figures.csv,,,
Q1086832,Cù Huy Hà Vũ,bornIn,Q10838746,Ân Phú,1957.0,,,,,historical_figures.csv,,,
Q1451220,Phanxicô Xaviê Nguyễn Quang Sách,bornIn,Q25282,Đà Nẵng,1925.0,,,16.069444444444,108.20972222222,historical_figures.csv,,,
Q1324691,Trần Văn Dĩnh,bornIn,Q36167,Huế,1923.0,,,16.456111111111,107.57638888889,historical_figures.csv,,,
Q1315921,Hàn Mặc Tử,bornIn,Q1877,Đồng Hới,1912.0,,,17.483333333333,106.6,historical_figures.csv,,,
Q1934566,Hoàng Thùy Linh,bornIn,Q1858,Hà Nội,1988.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1460430,Phaolô Nguyễn Thanh Hoan,bornIn,Q36587,Nghệ An,1939.0,,,19.333333333333,104.83333333333,historical_figures.csv,,,
Q1669434,Giuse Nguyễn Chí Linh,bornIn,Q10771691,Hải Thanh,1949.0,,,19.431666666667,105.80638888889,historical_figures.csv,,,
Q1155639,Vũ Ngọc Phan,bornIn,Q1858,Hà Nội,1902.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1931533,Nguyễn Văn Hùng,bornIn,Q36175,Thanh Hóa,1980.0,,,19.8075,105.77638888889,historical_figures.csv,,,
Q1924279,Vũ Văn Mẫu,bornIn,Q1858,Hà Nội,1914.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1320395,Đào Thiên Hải,bornIn,Q36676,Đồng Tháp,1978.0,,,10.455015,105.633957,historical_figures.csv,,,
Q1707704,Giuse Nguyễn Tấn Tước,bornIn,Q36866,Bình Dương,1958.0,,,11.166666666667,106.66666666667,historical_figures.csv,,,
Q1756323,Cao Bá Quát,bornIn,Q1134500,Gia Lâm,1809.0,,,21.029166666667,105.975,historical_figures.csv,,,
Q1144138,Cường Vũ,bornIn,Q1854,Thành phố Hồ Chí Minh,1969.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
Q1156062,Hoàng Kế Viêm,bornIn,Q596473,Quảng Ninh,1820.0,,,17.233,106.55,historical_figures.csv,,,
Q1812156,Nguyễn Chí Thanh,bornIn,Q36399,Huế,1913.0,,,16.463888888889,107.58666666667,historical_figures.csv,,,
Q1355838,Lê Sáng,bornIn,Q1858,Hà Nội,1920.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1155303,Huyền Trân,bornIn,Q10825974,Thăng Long,1289.0,,,,,historical_figures.csv,,,
Q1707703,Giuse Nguyễn Năng,bornIn,Q8052185,Yên Khánh,1953.0,,,20.183,106.083,historical_figures.csv,,,
Q1684618,Gioan Baotixita Bùi Tuần,bornIn,Q20969067,Bắc Kỳ,1928.0,,,21.0,106.0,historical_figures.csv,,,
Q1320513,Phạm Văn Quyến,bornIn,Q36587,Nghệ An,1984.0,,,19.333333333333,104.83333333333,historical_figures.csv,,,
Q1033985,Đặng Trần Côn,bornIn,Q1858,Hà Nội,1710.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1033985,Đặng Trần Côn,bornIn,Q1858,Hà Nội,1715.0,,,21.0245,105.84117,historical_figures.csv,,,
Q711635,Trần Nghệ Tông,bornIn,Q1858,Hà Nội,1321.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1033943,Lê Ý Tông,bornIn,Q1858,Hà Nội,1719.0,,,21.0245,105.84117,historical_figures.csv,,,
Q923479,John Phan,bornIn,Q25282,Đà Nẵng,1974.0,,,16.069444444444,108.20972222222,historical_figures.csv,,,
Q716761,Trần Thuận Tông,bornIn,Q1858,Hà Nội,1378.0,,,21.0245,105.84117,historical_figures.csv,,,
Q967516,Hoàng Cầm,bornIn,Q36736,Bắc Giang,1922.0,,,21.273055555556,106.19472222222,historical_figures.csv,,,
Q862051,Nguyễn Lữ,bornIn,Q36693,Bình Định,1754.0,,,14.166666666667,109.0,historical_figures.csv,,,
Q705695,Trần Tự Khánh,bornIn,Q5942559,Hưng Hà,1150.0,,,20.583,106.167,historical_figures.csv,,,
Q1057829,Elly Trần,bornIn,Q1854,Thành phố Hồ Chí Minh,1987.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
