h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q4870316,Battle of Ap Bau Bang II,occurredAt,Q16480177,Bàu Bàng,1967,,,11.2625,106.6125
Q23020685,Trận Đồng Đăng (1979),occurredAt,Q1285379,Đồng Đăng,1979,,,21.9458,106.697
Q5452524,Chiến dịch Lộc Ninh,occurredAt,Q6711776,Lộc Ninh,1967,,,11.858333333333,106.57916666667
Q4870513,Battle of Bong Son,occurredAt,Q2276503,Bồng Sơn,1966,,,14.429350201128,109.01611375564
Q4871925,Battle of Nui Le,occurredAt,Q7189910,Phước Tuy,1971,,,10.490704,107.168473
Q247395,Trận Đồi Thịt Băm,occurredAt,Q8520389,Dong Ap Bia,1969,16.253055555556,107.17472222222,16.25,107.18333333333
Q3381201,Trận An Lão,occurredAt,Q4750136,An Lão,1964,14.558333333333,108.8,14.558333333333,108.8
Q4845763,Trận Lộc Ninh,occurredAt,Q6711776,Lộc Ninh,1972,11.41888889,106.27027778,11.85851,106.57854
Q588774,Trận Đồng Xoài,occurredAt,Q665981,Đồng Xoài,1965,11.537222222222,106.89611111111,11.521111111111,106.85083333333
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q148,Trung Quốc,1975,,,35.844722222222,103.45194444444
Q3539853,Trận Ngọc Hồi – Đống Đa,occurredAt,Q7189887,Phú Xuân,1788,,,10.631111,105.284167
Q4273438,Trận Kontum,occurredAt,Q36493,Kon Tum,1972,14.3561,108.008,14.343611111111,107.97888888889
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q819,Lào,1975,,,18.2,104.1
