h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q3541430,Trần Văn Khê,diedIn,Q1854,Thành phố Hồ Chí Minh,2015,,,10.775555555556,106.70194444444
Q1611010,Vũ Trọng Phụng,diedIn,Q1858,Hà Nội,1939,,,21.0245,105.84117
Q1923748,Võ Quý,diedIn,Q1858,Hà Nội,2017,,,21.0245,105.84117
Q1111868,Nguyễn Tuân,diedIn,Q1858,Hà Nội,1987,,,21.0245,105.84117
Q10833922,Vũ Tuyên Hoàng,diedIn,Q1858,Hà Nội,2008,,,21.0245,105.84117
Q705682,Hoàng Văn Hoan,diedIn,Q956,Bắc Kinh,1991,,,39.90403,116.407526
Q1036300,Xuân Diệu,diedIn,Q1858,Hà Nội,1985,,,21.0245,105.84117
Q3525668,Lê Minh Đảo,diedIn,Q779,Connecticut,2020,,,41.6,-72.7
Q714138,Phaolô Giuse Phạm Đình Tụng,diedIn,Q1858,Hà Nội,2009,,,21.0245,105.84117
Q1033931,Lê Thần Tông,diedIn,Q1858,Hà Nội,1662,,,21.0245,105.84117
Q983839,Nguyễn Hữu Thọ,diedIn,Q1854,Thành phố Hồ Chí Minh,1996,,,10.775555555556,106.70194444444
Q711416,Trần Minh Tông,diedIn,Q206219,Hoàng thành Thăng Long,1357,,,21.0325,105.83972
Q3164474,Jean-Baptiste Urrutia Thi,diedIn,Q172593,Montauban,1979,,,44.017222222222,1.355
Q1306742,Hoàng Minh Chính,diedIn,Q1858,Hà Nội,2008,,,21.0245,105.84117
Q711441,Trần Anh Tông,diedIn,Q206219,Hoàng thành Thăng Long,1320,,,21.0325,105.83972
Q705577,Lý Nhân Tông,diedIn,Q881,Việt Nam,1127,,,16.0,108.0
Q10798691,Nghiêm Xuân Yêm,diedIn,Q1858,Hà Nội,2001,,,21.0245,105.84117
Q1605885,Henri Huet,diedIn,Q819,Lào,1971,,,18.2,104.1
Q971069,Lôrensô Chu Văn Minh,diedIn,Q1858,Hà Nội,2025,,,21.0245,105.84117
Q1812156,Nguyễn Chí Thanh,diedIn,Q1858,Hà Nội,1967,,,21.0245,105.84117
Q545539,Trường Chinh,diedIn,Q1858,Hà Nội,1988,,,21.0245,105.84117
Q585842,Antôn Nguyễn Văn Thiện,diedIn,Q220673,Mougins,2012,,,43.6,6.9947222222222
Q94204,Trần Lập,diedIn,Q1858,Hà Nội,2016,,,21.0245,105.84117
Q699904,Ngô Quyền,diedIn,Q798059,Cổ Loa,944,,,21.113408,105.873206
Q1155829,Vân Đài,diedIn,Q1858,Hà Nội,1964,,,21.0245,105.84117
Q485476,Phùng Quang Thanh,diedIn,Q1858,Hà Nội,2021,,,21.0245,105.84117
Q3206845,Trần Văn Trà,diedIn,Q1854,Thành phố Hồ Chí Minh,1996,,,10.775555555556,106.70194444444
Q310913,Thích Nhất Hạnh,diedIn,Q10748576,Chùa Từ Hiếu,2022,,,16.438551,107.572989
Q704451,Trịnh Tùng,diedIn,Q5370325,Thanh Oai,1623,,,20.858333333333,105.78333333333
Q700897,Hoàng Văn Thái,diedIn,Q1858,Hà Nội,1986,,,21.0245,105.84117
