h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q81289,Nguyễn Chí Thiện,bornIn,Q1858,Hà Nội,1939,,,21.0245,105.84117
Q10794232,Miu Lê,bornIn,Q1854,Thành phố Hồ Chí Minh,1991,,,10.775555555556,106.70194444444
Q139324,Trần Đức Lương,bornIn,Q33304,Quảng Ngãi,1937,,,15.0,108.66666666667
Q614544,Nguyễn Phúc Bảo Thăng,bornIn,Q25281,Đà Lạt,1943,,,11.94,108.4375
Q1144138,Cường Vũ,bornIn,Q1854,Thành phố Hồ Chí Minh,1969,,,10.775555555556,106.70194444444
Q1156062,Hoàng Kế Viêm,bornIn,Q596473,Quảng Ninh,1820,,,17.233,106.55
Q1155303,Huyền Trân,bornIn,Q10825974,Thăng Long,1289,,,,
Q1013830,Kiều Công Tiễn,bornIn,Q7187240,Phong Châu,850,,,21.2817,105.442
Q700516,Văn Tiến Dũng,bornIn,Q1858,Hà Nội,1917,,,21.0245,105.84117
Q10797176,Nam Trân,bornIn,Q2121534,Đại Lộc,1907,,,15.891388888889,108.11805555556
Q10788893,Lữ Ngọc Cư,bornIn,Q33304,Quảng Ngãi,1955,,,15.0,108.66666666667
Q10789918,Nguyễn Phúc Trinh Thận,bornIn,Q36167,Huế,1826,,,16.456111111111,107.57638888889
Q10789970,Mai Thu Huyền,bornIn,Q1858,Hà Nội,1979,,,21.0245,105.84117
Q10789957,Mai Năng,bornIn,Q10800478,Ngũ Phúc,1930,,,20.729444444444,106.61472222222
Q10797036,Nam Cường,bornIn,Q25282,Đà Nẵng,1985,,,16.069444444444,108.20972222222
Q10796715,Mỹ Duyên,bornIn,Q1854,Thành phố Hồ Chí Minh,1972,,,10.775555555556,106.70194444444
Q10789969,Mai Thiên Vân,bornIn,Q3710726,Bình Đại,1982,,,10.193611111111,106.64444444444
Q10798943,Nguyên Vũ,bornIn,Q1854,Thành phố Hồ Chí Minh,1975,,,10.775555555556,106.70194444444
Q10788835,Lộng Chương,bornIn,Q36729,Hải Dương,1918,,,20.916666666667,106.33333333333
Q10796584,Mẹ Suốt,bornIn,Q1877,Đồng Hới,1908,,,17.483333333333,106.6
Q10789957,Mai Năng,bornIn,Q10800478,Ngũ Phúc,1930,,,20.72583333,106.6155556
