h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source,h_in_vn,t_in_vn
Q133852608,Phan Văn Khỏe,bornIn,Q16480343,Cai Lậy,1901.0,10.40555556,106.1013889,10.40555556,106.1013889,historical_figures.csv,,,,True,True
Q133927895,Ánh Hồng,bornIn,Q185682,Liên bang Đông Dương,1944.0,21.033333333333,105.85,21.033333333333,105.85,historical_figures.csv,,,,True,True
Q134096860,Trần Kiềm,bornIn,Q7862053,Tân An,1932.0,,,,,historical_figures.csv,,,,True,True
Q133860344,Tiết Cương,bornIn,Q26573,Long An,1973.0,10.666666666667,106.16666666667,10.666666666667,106.16666666667,historical_figures.csv,,,,True,True
Q133854001,Hoàng Sơn,bornIn,Q524553,Thủ Dầu Một,1966.0,11.004166666667,106.65833333333,11.004166666667,106.65833333333,historical_figures.csv,,,,True,True
Q133804710,Quốc Quân,bornIn,Q1858,Hà Nội,1970.0,21.0245,105.84117,21.0245,105.84117,historical_figures.csv,,,,True,True
Q134208783,Phạm Tiến Dũng,bornIn,Q4764328,Anh Sơn,1959.0,18.95,105.083,18.95,105.083,historical_figures.csv,,,,True,True
Q133927895,Ánh Hồng,bornIn,Q25262,Cà Mau,1944.0,9.1833333333333,105.15,9.1833333333333,105.15,historical_figures.csv,,,,True,True
Q133825679,Nguyễn Thị Thuấn,bornIn,Q10796879,Mỹ Thọ,1916.0,10.447967,105.698797,10.447967,105.698797,historical_figures.csv,,,,True,True
Q133476675,Đinh Văn Tăng,bornIn,Q36512,Thanh Hóa,1932.0,20.0,105.5,20.0,105.5,historical_figures.csv,,,,True,True
Q133844095,Hoàng Giang,bornIn,Q36666,Tiền Giang,1922.0,10.416666666667,106.16666666667,10.416666666667,106.16666666667,historical_figures.csv,,,,True,True
Q133874910,Mai Hoàng,bornIn,Q8052194,Yên Mỹ,1979.0,20.890915,106.04617,20.890915,106.04617,historical_figures.csv,,,,True,True
